path	strict_decode	format	core_spec	total	sort	bvar	const	app	lam	pi	let
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Dimension/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Factorization/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Ideal/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Integral/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Localization/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Module/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Noetherian/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Polynomial/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Ring/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/RingsAndFields/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	468	3	42	25	309	32	57	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Spectrum/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/Commutative/Tensor/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	76	1	8	1	16	20	30	0
npa-corpus/proofs/Proofs/Ai/Algebra/FinitelyGeneratedAbelianGroup/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	344	2	29	3	144	51	115	0
npa-corpus/proofs/Proofs/Ai/Algebra/IntegralDependenceNormalizationGoingUpDown/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	2690	3	62	7	1677	368	573	0
npa-corpus/proofs/Proofs/Ai/Algebra/LocalizationRingsModules/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1868	5	56	8	1073	291	435	0
npa-corpus/proofs/Proofs/Ai/Algebra/ModulesOverPID/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1315	4	49	5	678	172	407	0
npa-corpus/proofs/Proofs/Ai/Algebra/NakayamaLemma/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1263	3	45	5	680	169	361	0
